actual,line,opp.line,outcomeline1,outcomeline2,PredProba,PredProba.opp,EV_1,EV_2,BestEV,makeBet,Bet,Net
1,420,-545,4200.0,183.4862385321101,0.2031620778270717,0.7968379221729283,853.2807268737012,146.20879305925288,853.2807268737012,False,1,853.2807268737012
1,-240,190,416.6666666666667,1900.0,0.6787915740998984,0.32120842590010157,282.82982254162437,610.296009210193,610.296009210193,False,0,-1000.0
1,-120,100,833.3333333333334,1000.0,0.5429988864612376,0.4570011135387624,452.49907205103136,457.0011135387624,457.0011135387624,False,0,-1000.0
1,-140,120,714.2857142857143,1200.0,0.5626605640217717,0.43733943597822833,401.9004028726941,524.807323173874,524.807323173874,False,0,-1000.0
1,225,-265,2250.0,377.35849056603774,0.3109689692815576,0.6890310307184424,699.6801808835046,260.01170970507263,699.6801808835046,False,1,699.6801808835046
0,385,-510,3850.0,196.078431372549,0.2962430546867761,0.703756945313224,1140.535760544088,137.9915579045537,1140.535760544088,True,1,-1000.0
1,-450,375,222.22222222222223,3750.0,0.7611996711325217,0.23880032886747826,169.15548247389373,895.5012332530434,895.5012332530434,False,0,-1000.0
1,-145,125,689.655172413793,1250.0,0.5978168729684152,0.40218312703158476,412.287498598907,502.72890878948095,502.72890878948095,False,0,-1000.0
0,180,-210,1800.0,476.1904761904762,0.4029162025518213,0.5970837974481786,725.2491645932784,284.32561783246604,725.2491645932784,False,1,-1000.0
1,130,-150,1300.0,666.6666666666667,0.4047314996412974,0.5952685003587026,526.1509495336866,396.8456669058018,526.1509495336866,False,1,526.1509495336866
1,-250,210,400.0,2100.0,0.6228057143820934,0.3771942856179066,249.12228575283737,792.1079997976038,792.1079997976038,False,0,-1000.0
1,115,-135,1150.0,740.7407407407408,0.48783439767874176,0.5121656023212582,561.009557330553,379.38192764537644,561.009557330553,False,1,561.009557330553
0,290,-350,2900.0,285.7142857142857,0.3101226947087344,0.6898773052912657,899.3558146553297,197.1078015117902,899.3558146553297,False,1,-1000.0
0,225,-265,2250.0,377.35849056603774,0.36132700914253224,0.6386729908574678,812.9857705706976,241.00867579527085,812.9857705706976,False,1,-1000.0
0,500,-700,5000.0,142.85714285714286,0.17142746696379052,0.8285725330362095,857.1373348189526,118.3675047194585,857.1373348189526,False,1,-1000.0
0,-140,120,714.2857142857143,1200.0,0.608865285274797,0.391134714725203,434.9037751962836,469.36165767024363,469.36165767024363,False,0,469.36165767024363
1,-240,200,416.6666666666667,2000.0,0.6590481035261727,0.3409518964738273,274.60337646923864,681.9037929476546,681.9037929476546,False,0,-1000.0
1,-165,145,606.060606060606,1450.0,0.537329596400457,0.46267040359954303,325.65430084876175,670.8720852193374,670.8720852193374,False,0,-1000.0
0,-220,190,454.54545454545456,1900.0,0.6668566421927088,0.3331433578072912,303.1166555421404,632.9723798338533,632.9723798338533,False,0,632.9723798338533
1,-600,450,166.66666666666669,4500.0,0.7947292616866474,0.20527073831335263,132.45487694777458,923.7183224100868,923.7183224100868,False,0,-1000.0
0,-165,142,606.060606060606,1420.0,0.5938644529205843,0.4061355470794157,359.9178502548996,576.7124768527702,576.7124768527702,False,0,576.7124768527702
0,-240,200,416.6666666666667,2000.0,0.6399267848405413,0.36007321515945867,266.63616035022557,720.1464303189174,720.1464303189174,False,0,720.1464303189174
1,-235,200,425.531914893617,2000.0,0.6221576437976378,0.3778423562023622,264.7479335309097,755.6847124047243,755.6847124047243,False,0,-1000.0
1,145,-170,1450.0,588.2352941176471,0.3940026748782904,0.6059973251217097,571.303878573521,356.4690147774763,571.303878573521,False,1,571.303878573521
0,1100,-2500,11000.0,40.0,0.018137989985452335,0.9818620100145476,199.51788983997568,39.27448040058191,199.51788983997568,False,1,-1000.0
0,175,-210,1750.0,476.1904761904762,0.33431586020281095,0.6656841397971891,585.0527553549192,316.992447522471,585.0527553549192,False,1,-1000.0
1,-1800,950,55.55555555555556,9500.0,0.9755422616122602,0.02445773838773979,54.19679231179224,232.348514683528,232.348514683528,False,0,-1000.0
1,210,-250,2100.0,400.0,0.32140715497220324,0.6785928450277967,674.9550254416268,271.4371380111187,674.9550254416268,False,1,674.9550254416268
1,-260,210,384.61538461538464,2100.0,0.6822293307884851,0.31777066921151487,262.3958964571097,667.3184053441812,667.3184053441812,False,0,-1000.0
1,-2020,1270,49.504950495049506,12700.0,0.9865445053550276,0.013455494644972421,48.838836898763745,170.88478199114974,170.88478199114974,False,0,-1000.0
0,600,-900,6000.0,111.11111111111111,0.12539305715875043,0.8746069428412495,752.3583429525025,97.17854920458328,752.3583429525025,False,1,-1000.0
0,400,-500,4000.0,200.0,0.18943786786967756,0.8105621321303225,757.7514714787103,162.1124264260645,757.7514714787103,False,1,-1000.0
0,160,-185,1600.0,540.5405405405405,0.4403894297240615,0.5596105702759385,704.6230875584984,302.49220014915596,704.6230875584984,False,1,-1000.0
1,-170,150,588.2352941176471,1500.0,0.6190526813475016,0.3809473186524984,364.14863608676563,571.4209779787476,571.4209779787476,False,0,-1000.0
0,150,-180,1500.0,555.5555555555555,0.36170694309767665,0.6382930569023233,542.560414646515,354.60725383462403,542.560414646515,False,1,-1000.0
1,-130,110,769.2307692307693,1100.0,0.5662196628986326,0.43378033710136743,435.553586845102,477.1583708115042,477.1583708115042,False,0,-1000.0
0,138,-158,1380.0,632.9113924050633,0.4874799983090005,0.5125200016909994,672.7223976664208,324.37974790569587,672.7223976664208,False,1,-1000.0
0,125,-145,1250.0,689.655172413793,0.4772746529878138,0.5227253470121862,596.5933162347673,360.50023931874904,596.5933162347673,False,1,-1000.0
0,-240,200,416.6666666666667,2000.0,0.6349393741586338,0.3650606258413662,264.5580725660974,730.1212516827325,730.1212516827325,False,0,730.1212516827325
1,-190,170,526.3157894736843,1700.0,0.6243532745032744,0.3756467254967256,328.60698658067076,638.5994333444336,638.5994333444336,False,0,-1000.0
1,250,-300,2500.0,333.33333333333337,0.3110409877598691,0.6889590122401309,777.6024693996727,229.65300408004367,777.6024693996727,False,1,777.6024693996727
0,320,-420,3200.0,238.0952380952381,0.2851316277140275,0.7148683722859726,912.421208684888,170.20675530618394,912.421208684888,False,1,-1000.0
0,1050,-2650,10500.0,37.735849056603776,0.014526146098502096,0.9854738539014979,152.524534034272,37.18769260005653,152.524534034272,False,1,-1000.0
1,-220,180,454.54545454545456,1800.0,0.6522981937473383,0.34770180625266167,296.49917897606286,625.863251254791,625.863251254791,False,0,-1000.0
1,-320,255,312.5,2550.0,0.6835126750139763,0.3164873249860237,213.59771094186758,807.0426787143605,807.0426787143605,False,0,-1000.0
0,815,-1165,8150.0,85.83690987124464,0.08441253488824144,0.9155874651117586,687.9621593391677,78.59119872203937,687.9621593391677,False,1,-1000.0
