Date,Team,Tm.Id,RA_ROW,Opponent,Opp.Id,Month,Year,Game,Home,B2B,Opp.B2B,Diff,Win,PTS,FGM,FGA,3PM,3PA,FTM,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.ORB,Opp.Turnovers,Opp.FTA,Opp.FGA,Opp.PTS
11/27/2015,ATL,ATL42335,TRUE,MEM,MEM42335,11,2015,18,0,0,0,15,1,116,35,75,14,39,32,36,6,40,25,4,3,10,21,5,13,21,80,101
11/28/2015,ATL,ATL42336,TRUE,SAS,SAS42336,11,2015,19,0,1,1,-20,0,88,37,87,6,26,8,13,12,43,28,9,5,18,17,12,16,20,85,108
11/30/2015,ATL,ATL42338,TRUE,OKC,OKC42338,11,2015,20,1,0,0,6,1,106,39,90,10,28,18,20,14,51,23,9,8,12,15,13,11,22,93,100
12/2/2015,ATL,ATL42340,TRUE,TOR,TOR42340,12,2015,21,1,0,0,-10,0,86,33,90,8,27,12,16,13,43,22,8,7,12,20,8,12,24,79,96
12/4/2015,ATL,ATL42342,TRUE,LAL,LAL42342,12,2015,22,1,0,0,13,1,100,37,74,10,26,16,20,9,43,24,11,9,17,11,15,16,13,86,87
12/9/2015,ATL,ATL42347,TRUE,DAL,DAL42347,12,2015,23,0,0,0,3,1,98,39,81,6,20,14,18,6,47,26,7,7,14,19,20,9,19,100,95
12/10/2015,ATL,ATL42348,TRUE,OKC,OKC42348,12,2015,24,0,1,0,-13,0,94,35,78,10,28,14,23,5,34,21,9,7,9,19,10,14,26,80,107
12/12/2015,ATL,ATL42350,TRUE,SAS,SAS42350,12,2015,25,1,0,1,-25,0,78,30,80,5,24,13,16,7,33,21,15,3,17,15,6,23,22,74,103
12/14/2015,ATL,ATL42352,TRUE,MIA,MIA42352,12,2015,26,1,0,1,-12,0,88,33,84,8,33,14,15,7,37,25,7,4,14,21,15,15,15,89,100
12/16/2015,ATL,ATL42354,TRUE,PHI,PHI42354,12,2015,27,1,0,0,21,1,127,48,78,10,21,21,24,2,25,32,11,7,12,21,7,22,24,75,106
12/18/2015,ATL,ATL42356,TRUE,BOS,BOS42356,12,2015,28,0,0,0,8,1,109,41,88,4,20,23,29,9,42,23,11,4,12,28,6,21,31,77,101
12/20/2015,ATL,ATL42358,TRUE,ORL,ORL42358,12,2015,29,0,0,0,3,1,103,39,78,11,22,14,20,8,41,25,6,7,19,21,8,13,24,81,100
12/21/2015,ATL,ATL42359,TRUE,POR,POR42359,12,2015,30,1,1,1,9,1,106,37,77,9,29,23,28,2,31,21,8,1,10,17,14,18,22,81,97
12/23/2015,ATL,ATL42361,TRUE,DET,DET42361,12,2015,31,1,0,1,7,1,107,43,89,6,20,15,20,10,42,25,8,4,13,25,13,14,33,89,100
12/26/2015,ATL,ATL42364,TRUE,NYK,NYK42364,12,2015,32,1,0,0,19,1,117,47,88,8,25,15,18,10,37,33,13,4,9,17,12,22,17,81,98
12/28/2015,ATL,ATL42366,TRUE,IND,IND42366,12,2015,33,0,0,0,-6,0,87,31,74,6,25,19,25,8,44,16,9,6,20,16,11,14,18,87,93
12/29/2015,ATL,ATL42367,TRUE,HOU,HOU42367,12,2015,34,0,1,0,6,1,121,43,99,14,41,21,25,17,45,27,10,7,12,24,7,19,39,72,115
1/3/2016,ATL,ATL42372,TRUE,NYK,NYK42372,1,2016,35,0,0,0,-14,0,97,37,84,8,26,15,20,8,32,26,11,5,15,14,12,16,14,88,111
1/5/2016,ATL,ATL42374,TRUE,NYK,NYK42374,1,2016,36,1,0,0,-6,0,101,37,87,15,39,12,19,14,41,22,3,4,13,24,11,9,24,84,107
1/7/2016,ATL,ATL42376,TRUE,PHI,PHI42376,1,2016,37,0,0,0,28,1,126,49,92,13,32,15,19,14,48,36,18,6,16,23,14,22,25,86,98
1/9/2016,ATL,ATL42378,TRUE,CHI,CHI42378,1,2016,38,1,0,0,15,1,120,49,94,10,24,12,15,8,40,33,15,13,15,22,12,21,31,83,105
1/13/2016,ATL,ATL42382,TRUE,CHO,CHO42382,1,2016,39,0,0,0,-23,0,84,30,81,7,25,17,21,6,37,17,5,4,16,21,11,16,26,82,107
1/15/2016,ATL,ATL42384,TRUE,MIL,MIL42384,1,2016,40,0,0,0,-7,0,101,43,100,9,30,6,6,7,43,29,5,9,17,25,21,16,37,96,108
1/16/2016,ATL,ATL42385,TRUE,BRK,BRK42385,1,2016,41,1,1,1,28,1,114,44,79,8,29,18,24,5,40,34,14,5,10,20,7,17,19,78,86
1/18/2016,ATL,ATL42387,TRUE,ORL,ORL42387,1,2016,42,1,0,0,17,1,98,41,80,9,19,7,10,4,47,31,9,6,17,20,11,13,20,87,81
1/20/2016,ATL,ATL42389,TRUE,POR,POR42389,1,2016,43,0,0,0,6,1,104,39,87,10,24,16,23,10,43,25,7,3,13,13,13,12,11,94,98
1/21/2016,ATL,ATL42390,TRUE,SAC,SAC42390,1,2016,44,0,1,1,-3,0,88,35,84,8,33,10,15,7,42,21,15,9,19,19,17,19,24,92,91
1/23/2016,ATL,ATL42392,TRUE,PHO,PHO42392,1,2016,45,0,0,0,-3,0,95,34,84,12,34,15,18,11,43,23,8,7,16,17,15,17,26,85,98
1/25/2016,ATL,ATL42394,TRUE,DEN,DEN42394,1,2016,46,0,0,0,14,1,119,43,86,9,27,24,26,10,42,28,11,3,14,24,12,15,37,84,105
